1	07-15-2016	13:41:01
Condition	Accuracy	RT
two_m	0	598
two_nm	0	0
three_nm	0	760
three_m	0	1377
two_nm	0	890
one_nm	0	743
two_m	0	529
one_nm	0	387
three_m	0	684
three_m	0	560
three_nm	0	850
three_m	0	575
two_nm	0	464
one_m	0	446
two_nm	0	517
three_m	0	575
one_m	0	808
one_nm	0	752
one_nm	0	730
two_nm	0	716
two_m	0	623
one_m	0	742
three_m	0	1041
one_nm	0	910
two_m	0	794
three_m	0	442
three_nm	0	0
three_m	0	546
three_m	0	404
one_m	0	252
three_nm	0	514
one_nm	0	580
three_nm	0	565
three_nm	0	391
two_nm	0	632
three_m	0	463
two_m	0	427
three_m	0	403
three_m	0	922
one_nm	0	0
two_m	0	798
two_m	0	799
one_nm	0	847
two_m	0	893
three_m	0	993
one_m	0	1250
three_m	0	736
three_m	0	697
one_nm	0	806
one_nm	0	606
one_m	0	598
two_m	0	0
three_nm	0	959
two_nm	0	1329
two_m	0	620
one_m	0	650
three_nm	0	720
one_nm	0	587
three_m	0	0
three_m	0	636
three_nm	0	706
one_m	0	590
one_nm	0	1207
two_m	0	622
three_nm	0	541
three_nm	0	431
one_nm	0	742
two_nm	0	808
three_nm	0	1111
two_m	0	971
two_m	0	836
two_nm	0	610
two_m	0	433
one_m	0	704
one_m	0	532
two_nm	0	294
two_nm	0	618
one_m	0	633
one_nm	0	552
one_m	0	561
two_nm	0	674
one_m	0	311
two_m	0	531
three_nm	0	989
one_nm	0	998
two_m	0	870
one_nm	0	603
three_nm	0	986
one_nm	0	610
two_nm	0	1018
two_m	0	361
three_m	0	466
two_nm	0	0
one_nm	0	0
two_nm	0	1019
two_m	0	457
three_nm	0	527
three_nm	0	1010
three_nm	0	698
three_m	0	0
two_nm	0	0
three_m	0	0
two_nm	0	0
one_m	0	0
two_m	0	0
three_nm	0	0
one_m	0	248
one_m	0	599
three_nm	0	847
one_m	0	981
one_nm	0	654
two_nm	0	1035
three_nm	0	738
two_m	0	907
one_m	0	951
one_nm	0	961
two_nm	0	1091
two_nm	0	1086
one_m	0	931
one_m	0	646
1	08-19-2016	09:52:38
Condition	Accuracy	RT
1	08-19-2016	09:56:42
Condition	Accuracy	RT
one_m	0	858
two_nm	0	230
two_m	0	464
two_nm	0	321
three_m	0	479
one_nm	0	1172
two_nm	0	122
three_nm	0	154
1	08-19-2016	10:04:55
Condition	Accuracy	RT
three_nm	0	700
two_m	0	381
two_m	0	134
